Lever,Altitude_ft,Mach,Thrust_N,TSFC_kg_per_Ns,TSFC_unit_flag,Valid,Error
0.0,10000.0,0.28,5121.86,1.0976442151874516e-05,kg/(N·s),1,
0.0,10000.0,0.3,4915.099999999999,1.140872006673313e-05,kg/(N·s),1,
0.0,10000.0,0.32,4714.0599999999995,1.18411305753427e-05,kg/(N·s),1,
0.0,10000.0,0.34,4513.0199999999995,1.2312065977992565e-05,kg/(N·s),1,
0.0,10000.0,0.36,4314.78,1.2810062158441452e-05,kg/(N·s),1,
0.0,10000.0,0.38,4119.34,1.3338010457985987e-05,kg/(N·s),1,
0.0,10000.0,0.4,3923.9,1.3918550421774255e-05,kg/(N·s),1,
0.0,10000.0,0.42,3715.5000000000005,1.4547005786569772e-05,kg/(N·s),1,
0.0,10000.0,0.44,3507.1000000000004,1.52501496963303e-05,kg/(N·s),1,
0.0,10000.0,0.46,3294.2400000000002,1.6039450677546263e-05,kg/(N·s),1,
0.0,10000.0,0.48,3076.9200000000005,1.6936221936221935e-05,kg/(N·s),1,
0.0,10000.0,0.5,2859.6,1.7969296405091623e-05,kg/(N·s),1,
0.0,10000.0,0.52,2619.2000000000003,1.9255726939523514e-05,kg/(N·s),1,
0.0,10000.0,0.54,2378.8,2.0802169160921468e-05,kg/(N·s),1,
0.0,10000.0,0.56,2132.08,2.2697272147386593e-05,kg/(N·s),1,
0.0,10000.0,0.58,1879.0400000000004,2.5097496594005443e-05,kg/(N·s),1,
0.0,10000.0,0.6,1626.0,2.824477244772448e-05,kg/(N·s),1,
0.0,10000.0,0.62,1354.512,3.289450370317871e-05,kg/(N·s),1,
0.0,10000.0,0.64,1083.024,3.987538595635923e-05,kg/(N·s),1,
0.0,10000.0,0.66,808.7399999999997,5.190568044118013e-05,kg/(N·s),1,
0.0,10000.0,0.68,531.6599999999992,7.69901816950684e-05,kg/(N·s),1,
0.0,10000.0,0.7000000000000001,254.57999997779717,0.00015667766518767648,kg/(N·s),1,
0.0,10000.0,0.72,646.286,6.925695435147907e-05,kg/(N·s),1,
0.0,10000.0,0.74,367.162,0.00011935494413909936,kg/(N·s),1,
